GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,327,HOU,,79,GSW,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),72,S. Curry - GSW,2-pt layup,make,1,D. Green - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,301,HOU,,79,GSW,S. Curry makes 2-pt layup from 2 ft,74,S. Curry - GSW,2-pt layup,make,2,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,244,HOU,,79,GSW,S. Curry makes 3-pt jump shot from 28 ft (assist by J. McAdoo),77,S. Curry - GSW,3-pt jump shot,make,28,J. McAdoo - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,107,HOU,,81,GSW,S. Curry misses 3-pt jump shot from 24 ft,78,S. Curry - GSW,3-pt jump shot,miss,24,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,41,HOU,,86,GSW,S. Curry misses 2-pt jump shot from 19 ft,80,S. Curry - GSW,2-pt jump shot,miss,19,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,4,454,HOU,,94,GSW,S. Curry misses 3-pt jump shot from 27 ft,90,S. Curry - GSW,3-pt jump shot,miss,27,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,4,265,HOU,,100,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),100,S. Curry - GSW,3-pt jump shot,make,25,D. Green - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,4,166,HOU,,103,GSW,S. Curry misses 3-pt jump shot from 23 ft,104,S. Curry - GSW,3-pt jump shot,miss,23,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,4,109,HOU,,108,GSW,S. Curry makes 2-pt jump shot from 20 ft,109,S. Curry - GSW,2-pt jump shot,make,20,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,4,70,HOU,,111,GSW,S. Curry misses 3-pt jump shot from 27 ft,109,S. Curry - GSW,3-pt jump shot,miss,27,
